Date : 2023-01-31 15:22:22
Directory : /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore
Total : 67 files,  3226 codes, 327 comments, 497 blanks, all 4050 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/gestures/gestures.dart                                                  | Dart       |         33 |          0 |          7 |         40 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/hardwarefunctions/camera.dart                                           | Dart       |         92 |         19 |         16 |        127 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/inputmethods/inputmethods.dart                                          | Dart       |         35 |          0 |          4 |         39 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/interactiondesign/interactiondesign.dart                                | Dart       |        108 |         13 |         10 |        131 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/location/location.dart                                                  | Dart       |         80 |          2 |         17 |         99 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/main.dart                                                               | Dart       |        144 |          1 |         11 |        156 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/multimedia/multimedia.dart                                              | Dart       |        132 |         10 |         14 |        156 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/navigation/navigation.dart                                              | Dart       |         70 |          0 |          8 |         78 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/networkcall/networkcall.dart                                            | Dart       |         48 |          4 |         10 |         62 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/objects/objects.dart                                                    | Dart       |         17 |          0 |          3 |         20 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/performance/performance.dart                                            | Dart       |         82 |          0 |          9 |         91 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/persistence/persistence.dart                                            | Dart       |         54 |          0 |          8 |         62 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/uiux/androidelements.dart                                               | Dart       |        228 |          0 |         22 |        250 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/uiux/ioselements.dart                                                   | Dart       |         81 |          0 |         10 |         91 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/uiux/uielements.dart                                                    | Dart       |        178 |          0 |         19 |        197 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/flutter/generated_plugin_registrant.cc                                | C++        |          3 |          4 |          5 |         12 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/flutter/generated_plugin_registrant.h                                 | C++        |          5 |          5 |          6 |         16 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/main.cc                                                               | C++        |          5 |          0 |          2 |          7 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/my_application.cc                                                     | C++        |         74 |         11 |         20 |        105 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/my_application.h                                                      | C++        |          7 |          7 |          5 |         19 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Flutter/GeneratedPluginRegistrant.swift                               | Swift      |         12 |          3 |          4 |         19 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/AppDelegate.swift                                              | Swift      |          8 |          0 |          2 |         10 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json               | JSON       |         68 |          0 |          1 |         69 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/Base.lproj/MainMenu.xib                                        | XML        |        343 |          0 |          1 |        344 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/MainFlutterWindow.swift                                        | Swift      |         12 |          0 |          4 |         16 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/pubspec.yaml                                                                | YAML       |         36 |         60 |         14 |        110 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/test/widget_test.dart                                                       | Dart       |         14 |         10 |          7 |         31 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/web/index.html                                                              | HTML       |         37 |         16 |          6 |         59 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/web/manifest.json                                                           | JSON       |         35 |          0 |          1 |         36 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/flutter/generated_plugin_registrant.cc                              | C++        |         12 |          4 |          5 |         21 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/flutter/generated_plugin_registrant.h                               | C++        |          5 |          5 |          6 |         16 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/flutter_window.cpp                                           | C++        |         45 |          4 |         13 |         62 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/flutter_window.h                                             | C++        |         20 |          5 |          9 |         34 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/main.cpp                                                     | C++        |         30 |          4 |         10 |         44 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/resource.h                                                   | C++        |          9 |          6 |          2 |         17 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/utils.cpp                                                    | C++        |         53 |          2 |         10 |         65 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/utils.h                                                      | C++        |          8 |          6 |          6 |         20 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/win32_window.cpp                                             | C++        |        183 |         15 |         48 |        246 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/win32_window.h                                               | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                                     |            |      3,226 |        327 |        497 |      4,050 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
